Disturbance Interval (h),Sampling Time (days),Live weevils,Dead weevils,Test weight (Ib/bu) ,BCFM (%),MC (%),Insect Damage (%) ,Temperature (F),Mold Damage (%),Heat Damage (%)
0,40,17,8,53.7,0.2,7.3,0,76.8,0,0
0,40,18,7,53.67,0,7.1,0.1,77.5,0.2,0.1
0,40,20,7,54.03,0,7.2,0,80.3,0,0
8,40,16,8,54.1,0,8,0,78.3,0,0
8,40,17,8,54.08,0.3,7.9,0,78.1,0,0
8,40,14,13,53.9,0.3,7.7,0.1,77.2,0.1,0
12,40,14,12,53.95,0.3,7.5,0.1,76.7,0.1,0
12,40,14,11,54.29,0,7.8,0.1,79,0.1,0
12,40,17,8,53.84,0.3,7.6,0.1,78.3,0,0
24,40,22,6,54,0.3,8.2,0.1,78.2,0.2,0
24,40,17,9,54.32,0,8.1,0,76.9,0,0
24,40,21,5,54.32,0,8.4,0,77.1,0,0
0,80,27,25,53.38,0,6.8,1.3,81.9,0,0
0,80,6,23,53.67,0,6.2,0.7,81.7,0,0
0,80,59,40,52.29,0.1,7.7,3.2,81.6,0,0
8,80,20,39,53.39,0.1,7.1,0.3,75.8,0,0
8,80,18,24,53.25,0.2,6.9,0.5,76.5,0,0
8,80,53,35,52.84,0,7,0.7,76.7,0.2,0
12,80,14,34,53.76,0,6.8,0.4,80.2,0,0
12,80,30,43,52.84,0.2,7.1,0.4,81.7,0,0
12,80,14,30,53.55,0.6,7,0.6,81.1,0,0
24,80,16,35,53.43,0.1,7.1,0.4,81.6,0.2,0
24,80,70,40,52.15,0.1,7.5,0.9,80.8,0.2,0
24,80,85,50,52.49,0.1,7.6,1.3,81.1,0,0
0,120,17,36,52.84,0.1,6.9,3.7,81.8,0.4,0
0,120,4,26,53.5,0.3,6.7,1.7,82.4,0.3,0
0,120,10,39,52.84,0,7,2.1,81.7,0,0
8,120,9,68,52.73,0.1,7.4,1.2,80.9,0.2,0
8,120,6,49,52.36,0,7.3,2.2,81.6,0,0
8,120,7,65,52.28,0,7.5,2.3,81.6,0.3,0
12,120,5,41,53.35,0.9,6.9,2.1,82.4,0.8,0
12,120,18,78,52.06,0.1,7.3,2.1,82.8,0.3,0
12,120,16,72,52.02,0.1,7.3,3.8,82.6,0.4,0
24,120,29,48,52.21,0.7,7.6,3.8,81.3,0.4,0
24,120,6,41,53.6,0,7.1,2.2,81.9,0,0
24,120,26,82,52.09,0.1,7.4,5.7,82.7,0.7,0
